Temp (degC),Pressure (bar),Pressure (psia),vf (m3/kg),vg (m3/kg),hf (kJ/kg),hg (kJ/kg),sf (kJ/kgK),sg (kJ/kgK)
270,55.06,798.58,0.0013025,0.03559,1185.23,2789.9,2.9763,5.9304
280,64.2,931.14,0.0013324,0.03013,1236.84,2780.4,3.0683,5.8586
290,74.46,1079.95,0.0013659,0.02554,1290.01,2767.6,3.1611,5.7848
300,85.93,1246.31,0.0014041,0.021649,1345.15,2751,3.2552,5.7081
310,98.7,1431.52,0.001448,0.018334,1402.39,2730,3.3512,5.6278
320,112.89,1637.33,0.0014995,0.01548,1462.6,2703.7,3.45,5.5423
330,128.63,1865.62,0.0015615,0.012989,1526.52,2670.2,3.5528,5.449
340,146.05,2118.28,0.0016387,0.01078,1595.47,2626.2,3.6616,5.3427
350,165.35,2398.2,0.0017411,0.008799,1671.94,2567.7,3.78,5.2177
360,186.75,2708.58,0.0018959,0.00694,1764.17,2485.4,3.921,5.06
370,210.54,3053.62,0.0022136,0.004973,1890.21,2342.8,4.1108,4.8144
374.15,221.2,3208.23,0.00317,0.00317,2107.37,2107.4,4.4429,4.4429
